accession	secondary_sample_accession	bio_material	cell_line	cell_type	collected_by	collection_date	country	culture_collection	description	dev_stage	first_public	tissue_lib	tissue_type	tax_id	scientific_name	sample_alias	protocol_label	project_name	host	host_tax_id	host_status	host_sex	submitted_host_sex	host_body_site	sample_collection	sequencing_method
SAMN02978924	SRS676653			monocyte					LPS_Adult3_0hr		2015-03-21			9606	Homo sapiens	GSM1467798										
SAMN02978925	SRS676651			monocyte					LPS_Adult3_1hr		2015-03-21			9606	Homo sapiens	GSM1467799										
SAMN02978926	SRS676652			monocyte					LPS_Adult3_6hr		2015-03-21			9606	Homo sapiens	GSM1467800										
SAMN02978927	SRS676654			monocyte					LPS_OlderAdult1_0hr		2015-03-21			9606	Homo sapiens	GSM1467801										
SAMN02978928	SRS676656			monocyte					LPS_OlderAdult1_1hr		2015-03-21			9606	Homo sapiens	GSM1467802										
SAMN02978929	SRS676655			monocyte					LPS_OlderAdult1_6hr		2015-03-21			9606	Homo sapiens	GSM1467803										
SAMN02978930	SRS676657			monocyte					LPS_OlderAdult2_0hr		2015-03-21			9606	Homo sapiens	GSM1467804										
SAMN02978931	SRS676658			monocyte					LPS_OlderAdult2_1hr		2015-03-21			9606	Homo sapiens	GSM1467805										
SAMN02978932	SRS676660			monocyte					LPS_OlderAdult2_6hr		2015-03-21			9606	Homo sapiens	GSM1467806										
SAMN02978933	SRS676659			monocyte					LPS_OlderAdult3_0hr		2015-03-21			9606	Homo sapiens	GSM1467807										
SAMN02978934	SRS676662			monocyte					LPS_OlderAdult3_1hr		2015-03-21			9606	Homo sapiens	GSM1467808										
SAMN02978935	SRS676661			monocyte					LPS_OlderAdult3_6hr		2015-03-21			9606	Homo sapiens	GSM1467809										
SAMN02978936	SRS676663			monocyte					Lm_Neonate1_0hr		2015-03-21			9606	Homo sapiens	GSM1467810										
SAMN02978937	SRS676664			monocyte					Lm_Neonate1_2hr		2015-03-21			9606	Homo sapiens	GSM1467811										
SAMN03009359	SRS693275		THP1	Monocyte					THP1 Cells from Homo sapiens		2015-09-16		peripheral-blood	9606	Homo sapiens	Hum-THP1-Cox										
SAMN03785020	SRS967597			Monocyte					Donor 97 CD14+ mono		2015-12-25		Blood	9606	Homo sapiens	GSM1717154										
SAMN03785024	SRS967592			Monocyte					Donor 28 CD14+ Mono		2015-12-25		Blood	9606	Homo sapiens	GSM1717158										
SAMN03785028	SRS967589			Monocyte					Donor 36 CD14+ mono		2015-12-25		Blood	9606	Homo sapiens	GSM1717162										
SAMN03853036	SRS986424		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM300k_0h										
SAMN03853037	SRS985921		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM300k_6h										
SAMN03853038	SRS985922		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM300k_12h										
SAMN03853039	SRS985923		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_NM300k_24h										
SAMN03853040	SRS986426		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_Control_0h										
SAMN03853041	SRS985928		THP-1	monocyte					This sample has been submitted by pda|jpfeuffer on 2015-07-10; Homo sapiens		2016-07-17		peripheral blood	9606	Homo sapiens	THP-1_Control_6h										
